ID,Year_Birth,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Target_Campaign_Responsiveness,Dt_Customer_Unix_time_seconds,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Target_MntWinesYear,MntFruitsYear,MntMeatProductsYear,MntFishProductsYear,MntSweetProductsYear,MntGoldProdsYear
5524,1957,58138.0,0,0,58,3,8,10,4,7,0,1,1346716800,0,0,1,0,0,0,0,0,0,1,0,0,0,317.5,44.0,273.0,86.0,44.0,44.0
2174,1954,46344.0,1,1,38,2,1,1,2,5,0,0,1394236800,0,0,1,0,0,0,0,0,0,1,0,0,0,5.5,0.5,3.0,1.0,0.5,3.0
4141,1965,71613.0,0,0,26,1,8,2,10,4,0,0,1377043200,0,0,1,0,0,0,0,0,0,0,1,0,0,213.0,24.5,63.5,55.5,10.5,21.0
6182,1984,26646.0,1,0,26,2,2,0,4,6,0,0,1391990400,0,0,1,0,0,0,0,0,0,0,1,0,0,5.5,2.0,10.0,5.0,1.5,2.5
5324,1981,58293.0,1,0,94,5,5,3,6,5,0,0,1390089600,0,0,0,0,1,0,0,0,1,0,0,0,0,86.5,21.5,59.0,23.0,13.5,7.5
7446,1967,62513.0,0,1,16,2,6,4,10,6,0,0,1378684800,0,0,0,1,0,0,0,0,0,0,1,0,0,260.0,21.0,49.0,0.0,21.0,7.0
965,1971,55635.0,0,1,34,4,7,3,7,6,0,0,1352764800,0,0,1,0,0,0,0,1,0,0,0,0,0,117.5,32.5,82.0,25.0,24.5,13.5
6177,1985,33454.0,1,0,32,2,4,0,4,8,0,0,1367971200,0,0,0,0,1,0,0,0,1,0,0,0,0,38.0,5.0,28.0,1.5,0.5,11.5
4855,1974,30351.0,1,0,19,1,3,0,2,9,0,1,1370476800,0,0,0,0,1,0,0,0,0,0,1,0,0,7.0,0.0,12.0,1.5,1.5,1.0
5899,1950,5648.0,1,1,68,1,1,0,0,20,0,1,1394668800,0,0,0,0,1,0,0,0,0,0,1,0,0,14.0,0.0,3.0,0.5,0.5,6.5
387,1976,7500.0,0,0,59,1,2,0,3,8,0,0,1352764800,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0,8.0,5.5,5.5,0.5,8.0
2125,1959,63033.0,0,0,82,1,3,4,8,2,0,0,1384473600,0,0,1,0,0,0,0,1,0,0,0,0,0,97.0,30.5,240.0,112.5,56.0,15.0
8180,1952,59354.0,1,1,53,3,6,1,5,6,0,0,1384473600,0,0,0,1,0,0,0,1,0,0,0,0,0,116.5,1.0,26.5,1.5,2.5,7.0
2569,1987,17323.0,0,0,38,1,1,0,3,8,0,0,1349827200,0,0,1,0,0,0,0,0,1,0,0,0,0,1.5,7.0,8.5,3.0,0.5,2.5
2114,1946,82800.0,0,0,23,1,7,6,12,3,0,1,1353715200,0,0,0,0,1,0,0,0,0,1,0,0,0,503.0,11.0,57.5,29.5,34.0,22.5
9736,1980,41850.0,1,1,51,3,3,0,3,8,0,0,1356307200,0,0,1,0,0,0,0,0,1,0,0,0,0,26.5,2.5,9.5,1.0,6.5,2.0
4939,1946,37760.0,0,0,20,2,4,1,6,7,0,0,1346371200,0,0,1,0,0,0,0,0,0,0,1,0,0,42.0,2.5,19.0,75.0,6.0,14.0
6565,1949,76995.0,0,1,91,2,11,4,9,5,0,1,1364428800,0,0,0,1,0,0,0,0,1,0,0,0,0,506.0,40.0,249.0,0.0,8.0,88.0
2278,1985,33812.0,1,0,86,2,2,1,3,6,0,0,1351900800,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,8.5,9.5,15.0,12.0,19.5
9360,1982,37040.0,0,0,41,1,4,2,5,8,0,0,1344384000,0,0,1,0,0,0,0,0,1,0,0,0,0,43.0,1.0,36.5,34.5,19.0,24.0
5376,1979,2447.0,1,0,42,15,0,28,0,1,0,0,1357430400,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0.5,862.5,0.5,0.5,0.5
1993,1949,58607.0,0,1,63,3,2,3,9,8,0,1,1356220800,0,0,0,0,1,0,0,0,1,0,0,0,0,433.5,0.0,43.0,0.0,0.0,9.5
4047,1954,65324.0,0,1,0,3,6,2,9,4,0,0,1389398400,0,0,0,0,1,0,0,0,1,0,0,0,0,192.0,0.0,51.0,10.5,16.0,2.5
1409,1951,40689.0,0,1,69,7,7,1,5,8,0,0,1363564800,0,0,1,0,0,0,0,0,0,0,1,0,0,135.0,1.5,13.5,19.5,3.0,49.5
7892,1969,18589.0,0,0,89,2,2,1,3,7,0,0,1357084800,0,0,1,0,0,0,0,0,0,1,0,0,0,3.0,2.0,12.5,7.5,6.0,6.5
2404,1976,53359.0,1,1,4,4,5,1,4,7,0,0,1369612800,0,0,1,0,0,0,0,0,1,0,0,0,0,86.5,2.0,15.0,1.5,3.0,20.5
9422,1989,38360.0,1,0,26,2,2,1,4,3,0,0,1369958400,0,0,1,0,0,0,0,0,1,0,0,0,0,18.0,1.0,21.0,10.0,10.5,5.0
1966,1965,84618.0,0,0,96,1,6,9,10,2,0,1,1385078400,0,0,0,0,1,0,0,0,1,0,0,0,0,342.0,50.0,400.5,10.5,33.0,0.0
6864,1989,10979.0,0,0,34,2,3,0,3,5,0,0,1400716800,0,0,0,1,0,0,0,1,0,0,0,0,0,4.0,2.0,5.0,1.0,1.0,2.0
3033,1963,38620.0,0,0,56,1,2,5,3,3,0,0,1368230400,0,0,0,1,0,0,0,0,0,0,1,0,0,56.0,8.5,22.0,17.0,11.0,44.5
5710,1970,40548.0,0,1,31,2,2,1,4,5,0,1,1349827200,0,0,1,0,0,0,0,0,0,0,1,0,0,55.0,0.0,2.5,1.0,0.0,1.5
7373,1952,46610.0,0,2,8,6,4,1,6,6,0,1,1351468800,0,0,0,0,1,0,0,1,0,0,0,0,0,48.0,6.0,48.0,16.5,11.0,21.5
8755,1946,68657.0,0,0,4,1,3,5,9,7,0,0,1361318400,0,0,0,1,0,0,0,0,1,0,0,0,0,241.0,17.0,235.5,59.5,34.0,11.0
10738,1951,49389.0,1,1,55,1,2,0,3,7,0,0,1377734400,0,0,0,1,0,0,0,0,0,1,0,0,0,20.0,0.0,9.5,1.0,0.5,1.5
4339,1970,67353.0,0,1,37,5,5,6,12,2,0,0,1388448000,0,0,0,0,1,0,0,0,1,0,0,0,0,351.0,8.5,75.5,0.0,4.0,17.5
10755,1976,23718.0,1,0,76,3,3,1,2,7,0,0,1378080000,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,1.5,7.0,7.5,3.5,18.0
8595,1973,42429.0,0,1,99,2,1,1,3,5,0,0,1392076800,0,0,1,0,0,0,0,0,0,0,0,1,0,27.5,0.0,3.0,1.0,0.0,2.0
2968,1943,48948.0,0,0,53,2,7,10,5,6,0,1,1359676800,0,0,0,0,1,0,0,1,0,0,0,0,0,218.5,4.0,103.0,80.0,24.5,21.0
8601,1980,80011.0,0,1,3,2,8,6,5,4,0,0,1367193600,0,0,1,0,0,0,0,0,1,0,0,0,0,210.5,38.0,268.0,41.0,89.0,51.0
503,1985,20559.0,1,0,88,2,2,0,3,8,0,0,1363046400,0,0,0,1,0,0,0,0,1,0,0,0,0,6.5,0.5,14.5,1.5,0.0,3.5
8430,1957,21994.0,0,1,4,1,0,0,3,5,0,0,1356307200,0,0,1,0,0,0,0,0,0,0,1,0,0,4.5,0.0,3.0,1.5,0.5,1.5
2139,1975,7500.0,1,0,19,3,2,0,3,5,0,0,1380672000,0,0,0,1,0,0,0,0,1,0,0,0,0,1.5,0.5,5.0,1.5,1.0,6.0
1371,1976,79941.0,0,0,72,1,2,4,9,1,0,0,1403913600,0,0,1,0,0,0,0,0,0,1,0,0,0,61.5,82.0,133.0,113.5,15.0,87.0
9909,1996,7500.0,0,0,24,3,3,1,3,9,0,1,1352419200,1,0,0,0,0,0,0,0,1,0,0,0,0,1.5,9.0,7.0,7.5,11.0,25.0
7286,1968,41728.0,1,0,92,1,2,0,2,10,0,0,1369353600,0,0,1,0,0,0,0,0,0,0,1,0,0,6.5,3.0,7.5,1.5,2.5,6.5
6566,1954,72550.0,1,1,39,9,5,2,12,8,0,0,1352332800,0,0,0,0,1,0,0,0,1,0,0,0,0,413.0,25.0,158.5,25.0,19.0,19.0
8614,1957,65486.0,0,1,29,1,4,2,10,2,0,0,1399852800,0,0,1,0,0,0,0,0,0,0,0,1,0,122.5,9.5,62.5,18.5,33.5,7.0
4114,1964,79143.0,0,0,2,1,6,9,13,3,0,0,1344643200,0,0,0,1,0,0,0,0,1,0,0,0,0,325.0,18.5,390.0,13.5,83.5,16.0
1331,1977,35790.0,1,0,54,2,2,0,3,7,0,0,1357084800,0,0,1,0,0,0,0,0,0,1,0,0,0,6.0,3.0,10.0,15.0,0.5,1.5
2225,1977,82582.0,0,0,54,1,4,9,7,1,0,1,1402099200,0,0,1,0,0,0,0,1,0,0,0,0,0,255.0,60.0,275.0,78.0,20.0,120.5
9381,1978,66373.0,1,1,57,7,4,2,10,3,0,0,1370995200,0,0,1,0,0,0,0,0,1,0,0,0,0,164.0,4.5,62.0,6.0,12.0,54.5
6260,1955,82384.0,0,0,55,1,3,10,13,1,0,1,1353283200,0,0,0,1,0,0,0,0,0,0,1,0,0,492.0,25.5,216.0,90.0,60.0,95.0
10383,1966,70287.0,0,0,30,1,5,5,10,3,0,1,1364860800,0,0,1,0,0,0,0,1,0,0,0,0,0,147.5,17.5,241.0,60.5,60.0,20.0
7437,1988,27938.0,1,0,31,1,1,0,4,3,0,0,1398643200,0,0,1,0,0,0,0,0,0,1,0,0,0,6.5,0.0,4.0,1.0,0.5,2.5
8375,1968,55954.0,0,1,63,3,8,2,6,7,0,0,1393804800,0,0,0,0,1,0,0,0,1,0,0,0,0,223.5,0.0,14.0,0.0,0.0,21.5
6853,1982,75777.0,0,0,12,1,3,6,11,1,0,1,1372896000,0,0,0,1,0,0,0,0,0,1,0,0,0,356.0,13.0,269.0,34.5,6.5,40.0
3076,1975,66653.0,1,1,18,4,4,2,12,3,0,0,1346976000,0,0,1,0,0,0,0,0,0,0,1,0,0,226.0,9.0,51.0,8.0,9.0,3.0
