,Year_Birth,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Dt_Customer_Unix_time_seconds,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,MntFruitsYear,MntMeatProductsYear,MntFishProductsYear,MntSweetProductsYear,MntGoldProdsYear
1840,1966,69063.0,0,1,16,1,5,3,5,3,0,1352246400,0,0,0,0,1,0,0,0,1,0,0,0,0,17.5,62.0,34.5,4.0,13.0
528,1976,54058.0,0,1,56,2,4,6,8,3,0,1370304000,0,0,1,0,0,0,0,0,0,0,1,0,0,9.0,126.0,16.0,54.0,27.0
590,1973,42429.0,0,1,99,2,1,1,3,5,0,1392076800,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,3.0,1.0,0.0,2.0
639,1975,153924.0,0,0,81,0,0,0,0,0,0,1391731200,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
1256,1972,38808.0,1,0,21,4,5,1,4,8,0,1345939200,0,0,1,0,0,0,0,0,0,1,0,0,0,8.5,26.0,1.5,9.5,15.0
1630,1982,22448.0,1,0,86,3,2,1,3,3,0,1393372800,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,4.0,11.5,1.0,9.0
388,1955,55521.0,1,2,11,9,6,3,6,7,0,1382400000,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,13.0,0.0,0.0,2.0
143,1952,61010.0,0,1,57,2,8,5,11,5,0,1349740800,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,28.5,0.0,0.0,38.0
129,1992,92859.0,0,0,46,1,5,4,12,2,0,1350604800,0,0,0,1,0,0,0,0,0,1,0,0,0,30.5,460.5,26.0,30.5,10.0
815,1992,48789.0,0,0,94,1,6,4,7,6,0,1347235200,0,0,1,0,0,0,0,0,0,1,0,0,0,8.0,78.0,3.5,2.5,72.5
2003,1952,77027.0,0,1,23,2,8,3,6,4,0,1391558400,0,0,0,1,0,0,0,0,1,0,0,0,0,28.5,121.0,22.5,0.0,5.5
169,1976,51650.0,0,1,81,1,4,1,4,5,0,1399766400,0,0,0,0,1,0,0,0,1,0,0,0,0,1.5,11.0,1.0,2.5,3.5
2024,1971,37150.0,1,0,80,8,4,3,6,7,0,1347321600,0,0,1,0,0,0,0,0,1,0,0,0,0,18.5,32.0,24.5,17.0,58.0
1406,1974,34596.0,1,0,48,1,1,0,2,8,0,1365811200,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,3.5
780,1954,70421.0,0,1,98,3,10,3,7,6,0,1403913600,0,0,0,0,1,0,0,0,1,0,0,0,0,14.0,68.0,37.5,7.0,17.5
714,1949,35946.0,1,1,24,1,0,0,3,5,0,1380240000,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1.5,0.0,0.0,0.0
746,1988,78285.0,0,0,13,1,6,4,10,3,0,1382918400,0,0,0,1,0,0,0,0,1,0,0,0,0,53.5,195.5,87.5,33.5,20.0
