,Year_Birth,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Dt_Customer_Unix_time_seconds,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,MntFruitsYear,MntMeatProductsYear,MntFishProductsYear,MntSweetProductsYear,MntGoldProdsYear
1601,1971,18793.0,1,0,14,3,2,0,4,8,0,1357948800,0,0,1,0,0,0,0,0,1,0,0,0,0,8.0,10.0,0.0,8.5,10.0
267,1981,24480.0,1,0,46,3,3,0,4,7,0,1360540800,0,1,0,0,0,0,0,0,1,0,0,0,0,9.5,4.5,14.0,12.5,8.5
2151,1973,48432.0,0,1,3,5,7,1,6,8,0,1350518400,0,0,0,0,1,0,0,0,0,0,0,0,1,1.5,25.0,2.0,1.5,21.0
1972,1947,91712.0,0,0,47,0,9,7,11,3,0,1381968000,0,0,0,1,0,0,0,0,0,1,0,0,0,12.0,373.0,47.0,14.5,24.0
1458,1987,41020.0,0,0,68,1,3,2,4,3,0,1382918400,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,27.0,3.5,3.5,18.0
1795,1983,21840.0,1,0,80,1,1,0,3,9,0,1374364800,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,4.5,0.0,0.0,0.5
185,1954,80067.0,0,0,82,1,4,6,6,2,0,1379548800,0,0,1,0,0,0,0,0,1,0,0,0,0,8.5,406.5,13.5,86.5,25.5
544,1978,33039.0,1,0,4,1,2,0,4,5,0,1378684800,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0,6.0,4.0,4.0,6.0
540,1978,54880.0,1,0,57,2,6,2,11,5,0,1362096000,0,0,0,0,1,0,0,0,0,1,0,0,0,42.5,68.5,51.0,22.5,59.0
1397,1948,51315.0,0,0,45,1,2,2,5,2,0,1393113600,0,0,1,0,0,0,0,0,0,0,1,0,0,14.0,19.5,8.0,15.0,20.5
2051,1987,42000.0,0,0,23,2,5,2,11,5,0,1357776000,0,0,0,0,1,0,0,0,0,1,0,0,0,41.5,133.5,42.5,29.5,17.5
1545,1952,47958.0,0,1,8,2,6,3,5,5,0,1358553600,0,0,1,0,0,0,0,0,0,1,0,0,0,5.5,44.0,7.5,1.5,11.0
1721,1983,37292.0,1,0,32,5,6,3,5,8,0,1366243200,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,43.0,5.0,11.5,33.0
1798,1956,50387.0,0,2,91,3,6,2,8,5,0,1377907200,0,0,1,0,0,0,0,0,1,0,0,0,0,4.5,43.5,6.0,7.0,17.0
87,1960,47916.0,0,1,72,5,7,4,6,6,0,1353542400,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,13.0,0.0,0.0,37.5
278,1969,38361.0,1,0,74,3,3,1,3,7,0,1388102400,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,28.0,10.0,4.0,7.0
815,1992,48789.0,0,0,94,1,6,4,7,6,0,1347235200,0,0,1,0,0,0,0,0,0,1,0,0,0,8.0,78.0,3.5,2.5,72.5
601,1976,162397.0,1,1,31,0,0,0,1,1,0,1370217600,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,8.0,1.0,0.5,1.0
503,1944,80184.0,0,0,19,1,6,3,10,3,0,1393632000,0,0,0,1,0,0,0,0,1,0,0,0,0,67.0,335.0,12.5,19.0,0.0
1552,1991,90638.0,0,0,29,1,3,4,10,1,0,1392249600,0,0,0,1,0,0,0,0,0,1,0,0,0,60.0,457.5,47.0,72.0,48.0
1028,1986,34728.0,1,0,2,1,1,1,2,6,0,1375142400,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,8.0,0.0,0.0,3.0
460,1972,41644.0,1,1,67,2,1,0,3,3,0,1399593600,0,0,0,0,1,0,0,0,0,1,0,0,0,1.5,2.0,1.0,0.0,1.0
826,1988,34176.0,1,0,12,4,3,0,4,6,0,1399852800,0,0,1,0,0,0,0,0,0,1,0,0,0,3.5,12.0,9.5,7.0,10.0
608,1955,72635.0,0,0,54,1,6,8,6,3,0,1370217600,1,0,0,0,0,0,0,0,1,0,0,0,0,11.0,161.5,52.0,17.5,53.5
1113,1952,63998.0,0,0,42,1,7,6,11,4,0,1387497600,1,0,0,0,0,0,0,1,0,0,0,0,0,14.5,409.0,0.0,16.5,56.0
502,1959,71367.0,0,0,24,1,4,5,7,2,0,1377216000,0,0,1,0,0,0,0,0,0,0,1,0,0,11.5,194.5,21.0,10.5,37.5
272,1974,30631.0,1,0,75,1,3,1,2,7,0,1373587200,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0,10.0,2.0,2.5,10.0
1883,1971,29819.0,1,0,77,3,3,0,3,6,0,1382572800,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,12.0,1.0,0.5,1.0
2157,1978,26487.0,1,0,23,3,2,1,3,5,0,1369008000,0,1,0,0,0,0,0,0,0,1,0,0,0,4.0,5.0,6.0,7.0,11.5
1823,1957,68148.0,0,0,86,1,4,4,6,2,0,1377907200,0,0,0,1,0,0,0,0,0,0,1,0,0,33.0,204.0,18.5,28.5,42.5
1616,1954,50002.0,0,1,21,2,8,2,7,7,0,1371427200,0,0,1,0,0,0,0,1,0,0,0,0,0,2.5,35.5,10.5,8.0,41.0
457,1978,38415.0,1,1,91,2,1,0,3,7,0,1357084800,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,6.5,2.0,0.0,2.0
905,1993,72354.0,0,0,67,1,2,10,6,1,0,1366156800,0,0,1,0,0,0,0,0,0,1,0,0,0,13.0,236.5,110.0,6.0,91.0
725,1956,34941.0,1,1,26,2,3,0,3,8,0,1362528000,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,12.5,2.0,1.5,12.0
82,1973,79593.0,0,0,70,1,5,6,7,2,0,1399852800,0,0,1,0,0,0,0,0,1,0,0,0,0,30.0,284.0,55.0,66.5,72.5
413,1968,61314.0,0,1,1,2,5,5,12,3,0,1366848000,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,94.5,48.5,86.0,86.0
1971,1971,39791.0,0,1,89,2,3,1,4,7,0,1364428800,0,0,0,1,0,0,0,0,1,0,0,0,0,7.5,13.5,6.5,6.5,10.5
333,1976,33181.0,1,0,90,1,1,0,2,6,0,1388707200,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1.5,0.0,0.0,2.0
1232,1973,20427.0,1,0,63,1,1,0,2,8,0,1395619200,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,2.0,0.0,0.0,0.5
353,1975,52614.0,0,1,63,2,2,4,8,8,0,1354320000,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,71.0,6.0,4.5,19.0
920,1971,71796.0,0,0,54,1,9,3,4,4,0,1382572800,0,0,1,0,0,0,0,0,0,0,1,0,0,10.5,155.5,83.5,37.5,16.0
