,Target_MntWinesYear
1601,2.0
267,2.0
2151,161.0
1972,638.0
1458,56.0
1795,8.5
185,259.5
544,15.0
540,154.0
1397,34.0
2051,62.0
1545,134.0
1721,137.5
1798,184.5
87,252.5
278,19.5
815,175.5
601,42.5
503,517.5
1552,578.0
1028,7.0
460,10.0
826,2.5
608,195.0
1113,88.0
502,113.5
272,7.5
1883,4.5
2157,1.0
1823,194.5
1616,221.5
457,11.0
905,157.5
725,19.5
82,175.0
413,189.0
1971,42.5
333,4.5
1232,2.5
353,394.5
920,177.0
642,205.0
1450,4.0
1290,133.0
1403,15.0
501,5.5
260,6.5
2017,120.0
1291,571.0
1889,7.5
1835,560.5
2143,11.5
398,291.5
505,491.0
248,277.0
300,92.5
1499,1.5
345,256.0
947,40.0
592,4.0
1950,336.5
195,40.5
1409,16.5
576,146.0
1563,16.5
1411,1.0
179,0.5
664,297.5
748,101.5
1987,157.5
1848,142.0
922,185.5
557,100.0
1055,368.0
1118,533.5
117,225.0
679,46.0
397,42.5
1009,100.5
1250,244.5
1207,25.5
1834,356.0
1235,307.5
897,31.5
526,126.0
1033,269.0
20,0.5
800,3.5
1660,345.0
370,157.0
1809,8.0
757,19.5
872,115.0
811,11.0
2181,20.5
2193,85.5
325,18.5
1853,251.0
2055,1.5
1899,7.5
924,240.0
2133,44.5
2185,259.5
430,38.0
974,648.0
1070,2.0
2091,375.0
481,698.0
56,226.0
250,4.5
1193,43.5
984,79.0
943,133.5
1928,9.0
1978,119.5
677,1.0
2028,338.0
46,122.5
1511,107.5
292,262.5
702,220.0
980,397.5
296,77.0
1303,10.0
1680,193.5
88,25.5
348,123.5
1963,31.0
515,309.5
1197,486.0
1880,21.0
669,186.0
67,282.5
2076,6.5
1689,99.5
1508,392.0
2064,114.5
404,9.5
1492,405.5
1109,82.5
1915,4.0
1245,491.0
1292,537.0
31,48.0
1868,177.5
1206,204.0
1986,287.5
1341,91.0
1592,418.0
2094,18.5
1094,258.0
1280,10.0
174,5.0
856,2.0
1997,6.0
536,229.0
647,1.0
1435,229.0
2103,2.0
356,3.5
5,260.0
1566,22.5
802,321.0
287,18.0
1727,310.0
107,273.5
1205,1.0
116,81.0
53,6.5
975,1.5
1080,287.0
2079,2.0
1425,49.5
836,278.0
880,158.0
1767,23.0
1081,80.0
862,193.5
433,104.0
1298,17.5
867,11.0
1472,629.5
969,142.0
1480,108.0
1374,7.0
1843,203.5
1116,4.0
1375,311.0
1514,2.5
1610,205.0
2077,467.0
962,15.0
2115,11.5
1421,4.5
1376,5.5
2000,11.0
2023,18.5
141,116.5
1973,508.5
798,205.0
886,121.5
561,4.5
996,77.0
2192,2.5
1636,106.5
193,3.0
1780,226.5
1603,156.5
659,0.5
751,297.5
633,157.5
949,98.5
1600,49.0
673,130.0
452,167.5
911,435.5
236,480.0
700,172.5
1949,456.5
1500,455.0
1931,128.0
57,261.5
1688,146.5
1627,239.5
255,91.0
123,110.0
2097,88.0
806,232.0
1910,23.0
1478,465.5
896,476.5
125,0.0
1701,489.5
1905,1.0
893,51.0
1301,6.0
352,416.5
1041,120.5
1003,9.0
1612,52.5
610,107.5
1299,18.5
1449,423.0
21,433.5
1667,345.5
163,29.5
1602,199.0
976,196.5
973,13.5
1277,2.0
533,8.5
61,5.0
834,112.0
1496,337.5
382,1.0
773,114.5
169,76.0
1327,16.0
1939,33.5
311,10.5
1807,149.0
2057,146.5
492,17.0
44,6.5
1085,35.0
18,2.0
942,34.5
1147,120.5
825,45.5
795,6.0
1005,19.0
782,313.5
1318,81.5
678,33.5
724,474.0
1267,56.5
2206,1.5
324,228.0
1679,306.0
1006,493.0
709,27.0
2142,337.5
1852,15.5
1114,407.5
1996,1.5
480,14.5
810,639.5
560,58.5
928,3.5
26,18.0
2139,31.0
1541,205.5
1586,274.0
926,133.5
607,5.0
394,2.0
456,373.0
1316,355.5
1766,188.0
1786,40.5
1912,4.0
1069,326.0
1708,252.5
262,312.5
1958,14.5
1106,73.0
1035,4.0
685,106.0
368,6.0
1091,3.5
1731,49.0
464,9.5
1871,478.5
785,9.5
1515,52.0
309,212.0
1565,7.5
2062,8.0
1328,1.0
1952,99.5
1686,481.0
145,106.0
1590,228.0
1982,8.0
1396,1.0
707,298.5
1799,2.5
1783,115.5
670,449.5
1479,379.0
2020,101.0
1534,378.5
689,328.0
378,277.0
1286,2.0
1429,199.5
1711,3.0
1787,6.0
538,89.5
516,228.0
1712,9.0
972,155.5
1323,69.5
1524,315.5
1100,8.0
2210,214.0
1093,99.5
488,15.5
675,233.0
288,256.5
129,481.0
1649,502.0
95,108.5
1470,133.5
852,60.5
1129,14.5
482,264.5
144,498.5
1023,179.5
1646,296.5
